productAsin,country,date,isVerified,ratingScore,reviewTitle,Review_Text
B09G9BL5CP,India,11-08-2024,TRUE,4,No charger,"Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you🙏"
B09G9BL5CP,India,16-08-2024,TRUE,5,iPhone 13 256GB,"It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much 😍❤️"
B09G9BL5CP,India,14-05-2024,TRUE,4,Flip camera option nill,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !"
B09G9BL5CP,India,24-06-2024,TRUE,5,Product,100% genuine
B09G9BL5CP,India,18-05-2024,TRUE,5,Good product,Happy to get the iPhone 13 in Amazon offer
B09G9BL5CP,India,14-05-2024,TRUE,5,Too smooth and effective battery life,5 star 👍
B09G9BL5CP,India,28-01-2024,TRUE,5,Apple 13 256 GB,"Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100% . Just grab this product else you missed something...."
B09G9BL5CP,India,01-03-2024,TRUE,5,Good,Good product 😀💯
B09G9BL5CP,India,14-11-2023,TRUE,4,Good,Nice product
B09G9BL5CP,India,03-02-2024,TRUE,5,Excellent,Excellent product
B09G9BL5CP,India,06-02-2022,TRUE,5,Truly worth the money spent! Even if you go broke!,"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it."
B09G9BL5CP,India,06-07-2024,TRUE,5,I love it,Nice
B09G9BL5CP,India,18-05-2024,TRUE,5,It’s a legit iPhone,It’s a perfect iPhone I highly recommend this seller . Great price on their sale. The phone is good
B09G9BL5CP,India,11-03-2024,TRUE,5,Worth every penny,What I like about this phone is that it is quite reasonable comparing other iphones and Is very good and nice to use.
B09G9BL5CP,India,12-10-2023,TRUE,4,Nice.,I bought the product little expensive. Within a month price dropped by Rs.17000.
B09G9BL5CP,India,11-03-2022,TRUE,5,Worth the product,"Though we talk a lot about high price for iPhones, this is worth the amount. Smooth touch, perfect to hold in hand. For the screen size of 6.1"", it looks small overall. I could have gone for pro max but more than 1.5L budget is way too much for me :-)* Good battery back-up (With low battery mode always on, 5 hours of talk-time, around 2 hours of twitter and 2 hours of whatsapp usage, 1 hour of songs listening, 1 hour of rummy/candy crush games and notification of all these items, the battery comes for more than 24 hours for me)* Getting charged quickly from 20% to 100% within 2 hours* Perfect camera and I love that 'Live' photo option* Body design is awesome. When I held it in my hand for the first time, felt really happy about the design and the size of the iPhone 13."
B09G9BL5CP,India,31-10-2023,TRUE,3,It's been a week since I've been using this phone,Works just fine nothing special the camera is also good but during night it's not what I expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesn't like but sometimes it doesn't feel very smooth I don't know if it's value for money
B09G9BL5CP,India,29-11-2023,TRUE,5,Great,Loved it
B09G9BL5CP,India,08-09-2022,TRUE,5,Same as shown in pictures,There’s no same day delivery Phone was delivered to me in 3-4 days. I had to purchase  the phone thrice so on the third attempt I finally received the phone. Battery life is better than iPhone XR. Phone is same as shown in pictures. Amazon refund policy is good. I received both refunds within 24 hours.
B09G9BL5CP,India,14-02-2024,TRUE,2,My device is not working need help,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document
B09G9BL5CP,India,06-08-2024,TRUE,5,Its the best,Best
B09G9BL5CP,India,25-06-2024,TRUE,3,Not worth,Not worth
B09G9BL5CP,India,12-05-2024,TRUE,3,Improved version of iPhone 11,Nothing new features only model changed
B09G9BL5CP,India,21-07-2024,TRUE,2,Doubtful,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.
B09G9BL5CP,India,04-11-2023,TRUE,5,Amazing and Best value for money Iphone,"This phone has well balanced HD oled sDisplay. Colours are accurate. Camera quality is very good even with 12 MP cameras. Selfies and portrait look good, but selfies indoor required little improvement which can be done through software. Battery back up is great. Faster transfer using Airdrop. I am getting a 1 and half day of battery backup with normal usage. Overall a perfect smartphone with ios experience."
B09G9BL5CP,India,15-02-2024,TRUE,5,Good,Good not like android
B09G9BL5CP,India,07-08-2024,FALSE,4,Camera is impressive but i am not happy with battery's,
B09G9BL5CP,India,24-01-2024,TRUE,5,Supar mobile phone,Good charge
B09G9BL5CP,India,07-04-2022,TRUE,4,Good but it’s not recommended to all,Actually I’m android user now switched to iPhone user experience is good but camera quality isn’t meet my expectations when taken photos on day times and little low lights you’ll get good quality photos. Night mode is worst. Battery is good for moderate users. Phone is very compact and display quality really awesome. My conclusion if you looking for privacy and protect from hackers definitely iPhone is safe. Those who are all moderate user and then buy this model
B09G9BL5CP,India,10-12-2023,TRUE,5,Good,Very good I am happy
B09G9BL5CP,India,10-08-2024,TRUE,4,Good,Works fine
B09G9BL5CP,India,18-07-2024,TRUE,4,Good,Cool
B09G9BL5CP,India,22-08-2024,TRUE,5,Apple phone,"As it is an apple product, quality is ensured and proven"
B09G9BL5CP,India,07-07-2024,TRUE,5,Dear Apple,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback
B09G9BL5CP,India,01-06-2024,TRUE,5,excellent,fine
B09G9BL5CP,India,11-10-2023,TRUE,5,It's good for content creation,"I mainly bought it for content creation because the software optimization was good and also because I use macbook air so data transfer between iphone is quicker than the android one, basically less hassle.Love the photo and video quality.It's also mostly for work than personal use. Customization is a bit hard but I also use android as primary phone so not an issue for me.Overall a good purchase for me."
B09G9BL5CP,India,02-07-2024,TRUE,2,No airdrop and personal hotspot .,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHave  personal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone ."
